,thd,tn,fp,fn,tp,prc,rcl,profit
benchmark,0.0,0.0,19519.5,0.0,480.5,0.024025,1.0,630.0000000000036
m_worst,,0.0,19519.5,480.5,0.0,0.0,0.0,-27522.495
m_best,,19519.5,0.0,0.0,480.5,1.0,1.0,28152.495000000003
m1,0.02512562814070352,13962.0,5385.5,344.0,308.5,0.054179838426413766,0.4727969348659004,10481.46
m2,0.03015075376884422,15555.0,3774.5,380.0,290.5,0.07146371463714637,0.4332587621178225,11698.35
m3,0.03015075376884422,14781.0,4545.0,387.0,287.0,0.05939569536423841,0.4258160237388724,10406.880000000001
m4,0.02512562814070352,13381.0,5950.5,376.0,292.5,0.046852474771744354,0.43754674644727,8747.37
m5,0.02512562814070352,13936.0,5420.0,327.0,317.0,0.05525535994422172,0.4922360248447205,10930.830000000002
m6,0.02512562814070352,12464.0,6912.0,287.0,337.0,0.046489170920126915,0.5400641025641025,9998.910000000002
